3202576,"TRAFOINDO PRIMA PERKASA, JALAN KUTISARI"
96991767,"TRICOPLA, PT, Jl. Dinoyo No.35, Keputran, Kec. Tegalsari, Surabaya, Jawa Timur 60265"
3893025,"TRILUHUR RAYAABADI, JL.JEMURSARI UTARA V"
16808930,"WARDHANI, Jalan Bagong Ginayan 1/26 - A"
96989788,"WARNA WARNI PT <REKLAME>, WONOREJO 2 NO 99"
2499165,"YOSO MAKMUR, Jalan Bratang Gede III C NO. 8A"
96993723,"DAIMATU INDUSTRY IND, PT, JL. DINOYO NO. 31, SURABAYA"
2571744,"ARTAKIMIA KARUNIA ABADI, Ciputra World, Jl. Mayjen Sungkono No.89 27th Floor, Gunung Sari, Dukuhpakis, Surabaya, East Java 60224"
16807599,"ARTHA ADIPERSADA, Jl. Margomulyo 44 Blok NN No. 04"
97003725,"CV GLOBAL <ANDRI>, PRADA PERMAI GANG 8 NO 22-24"
4332448,"DANTRINDO, GEDUNG SPAZIO OFFICE BUILDING LT 5 JL MAYOR JENDERAL YONO SOEWOYO KAV 3"
3183042,"ERATEX DJAJA TBK., GEDUNG SPAZIO LT.3 GRAHA FESTIVAL KAV 3 GRAHA FAMILY JL MAYJEND YONO SOEWOYO"
6200288,"INDUSTRI VENDOPAINT INDONESIA, PT, Jl. Tanjungsari 44-I Kel. Simonulyo Baru, Surabaya"
98060873,"JI SHUI MULIA ABADI, PT, Jl. Tanjungsari 40 Am,"
96855934,"KARATU ABADI JAYA, CV, Jl. Pradah Indah No.39 ,"
2519563,"KARUNIA SUKRON JAYA, JL DUKUH KALIKENDAL"
96955764,"Maju Makmur Lestari Anggono, Jl. Raya Tanjungsari No.53"
4358301,"MANDALINDO TATAPERKASA, Jl. Dukuh Kupang Barat I No.194-196, Dukuh Kupang, Kec. Dukuhpakis, Surabaya, Jawa Timur 60225"
4031892,"MEDIA DELTA ESPE, RUKO RICH PALACE H 19-20, JL MAYJEN SUNGKONO"
4233500,"NEMROD RUBBER INDONESIA, Jl. Tanjungsari no. 40 AN"
4546971,"PEMUDA HIDUP SENTOSA, KUPANG BARU I"
4322437,"PHILLIPS PERKASA INDONESIA, RUKO VILLA BUKIT MAS JL ABDUL WAHAB SIAMIN"
96947341,"PT MASTEK TEKSTILE INDONESIA, SPAZIO OFFICE"
16808486,"READY MIX, PT/SCG READYMIX INDONESIA, Jl. Raya Sukomanunggal Jaya 2 H/Dupak Rukun Tambak Mayor 1"
96967482,"REMAJA PERDANA I PT, Jl. Sukomanunggal No.224, Sukomanunggal, Kec. Sukomanunggal, Surabaya, Jawa Timur 60188"
96965489,"REMAJA PRIMA ENGINEERING, PT, Jl. Tanjungsari 18,"
3162455,"ROYAL ORIENTAL RAPLASTEX, JL. SIMO TAMBAAN II NO. 52-54"
3315660,"SURABAYA KENCANA ANUGRAH, JL RAYA DARMO PERMAI"
6197869,"SUTINDU CHEMICAL INDONESIA, PT, Jl. Tanjungsari 44-I, Surabaya"
3182707,"TANJUNG NILAM, JL.TANJUNGSARI NO 23 RT.001 RW.002, SUKOMANUNGGAL"
96969136,"TANJUNG TIARA, PT, Jl. Tanjungsari 23"
96997639,"WANGTA AGUNG PT, Simo Pomahan 448"
96999392,"WONOSARI JAYA, PT, Jl. Simo Jawar 1/130D"
4811975,"2KONVEKSI KAOS <ACHMAD YANI>, DONOKERTO 2 RT: 03 RW: 07 KODEPOS: 60141"
97001215,"ALSTOM POWER ENERGY SYSTEM PT, JL JELEDUK"
3020644,"DHARMABUSANA ELOKSINGGASANA, JL SIDOYOSO III"
3240038,"GUNA BANGUN JAYA, JL SIDODADI"
6207463,"INDOSALUYU PRIMAJAYA, PT, Jl. Sidorame, No. 17"
6469704,"INTEGRASI IDE INDONESIA, PT, Jl. Gembong Gang 5 No. 6, Kapasan, Simokerto, Surabaya"
96691690,"KALIROTO, PT, Jl. Sidorame 19, Surabaya"
96972643,"KECAP CAP JERUK PECEL TULEN PT, Jl. Sidodadi Baru No.15A, Simokerto, Kec. Simokerto, Surabaya, Jawa Timur 60143"
3187122,"NAR STAINLESS STEEL CENTER,PT, JL. DEMAK TIMUR 7"
96859478,"PERCETAKAN (BUDI SETYADI), TAMBAK ADI NO 44"
98060882,"PRIMA DWI NUSA, PT, Hangtuah, Ujung Surabaya"
97737144,"PT DAMAI, Jl. Sidodadi 124 ,"
6200343,"RUDY DARMA ENGINEERING, PT, Jl. Demak No. 170"
16808531,"SAHABAT EVERVAN SEJAHTERA, PT, Jl. Kedung Cowek No 353,"
98060797,"SUMBER MAS, FA /GELORA MAS , PT, Jl. Gembong Sawah Iii/8 ,"
97002288,"TOP WELL INDOCEIL, PT, Jl. Kedung Cowek No.362"
97003297,"USFI, PT/USAHA SEKAWAN FARMASI IND, PT, Jl. Kedung Cowek No. 343-345 ,"
96998535,"ADELA GARMEN, Jl. Kemlaten Xi/3 ,"
6206938,"ALVICONS,PT, Jl. Mastrip Kemlaten No.12"
3895047,"ANTAR SURYA MEDIA, Jl. Rungkut Industri III No.68-70, Rungkut Tengah, Kec. Gn. Anyar, Surabaya, Jawa Timur 60293"
6354220,"Eastmatix Universal Solusindo, RUNGKUT PERMAI I-D NO. 5 RT. 003 RW. 006"
16807847,"FIRST INDONESIA REFURBISH MANUFACTUR,, Jl. Mastrip 90,"
KI35780028,"GOLDEN CENDANA JAYA, PT, JL.RUNGKUT INDUSTRI IV NO.4"
96907273,"GOOD YEAR , CV, Jl. Kesatrian No.30 Karangpilang ,"
96675972,"LINTECH FUJIKEN ENGINEERING, PT, Jl. Mastrip 70 Kawasan Industri Wira Jatim"
96913391,"LOKA REFRACTORIES WIRA JATIM, PT, Jl. Mastrip 24 Karang Pilang"
3740190,"MAJU MEGA MANDIRI, WISMA SIER LT. I JL. RUNGKUT INDUSTRI RAYA NO. 10 RT 000 RW 000, RUNGKUT TENGAH"
6201005,"MULTI URETHANE INDONESIA, Jl. Rungkut Industri Iii No. 79"
3874986,"MULYO MUKTI BERSAMA, JL GUNUNG ANYAR LOR"
4016352,"PAPERTECH, CV, Jl. Raya Panjang Jiwo Permai No. 38"
96916819,"PERCETAKAN, JL RAYA KEBRAON"
4356924,"PERDAMAIAN INDONESIA, PT, Jl. Mastrip 43 Kedurus Karangpilang"
6703014,"Pompa Dex Indoguna, PT, Jl. Rungkut Industri VIII No. 15"
96686601,"PT ASIA TILE, JL MASTRIPKARANG PILANG NO 201 RT 1 RW 1 60221"
96994826,"PT FIRST INDONESIA REFURBISH MANUFACTURING, Kemlaten Jl. Raya Mastrip Kemlaten No.24, Kebraon, Kec. Karangpilang, Surabaya, Jawa Timur 60222"
96684429,"PT. HAIR STAR INDONESIA, Kawasan industri SIER, Nomor 73, Jl. III, Rungkut Industri, Rungkut Menanggal, Kec. Gn. Anyar, Surabaya, Jawa Timur 60293"
4417622,"SEMESTA ELTRINDO PURA, JL RAYA MASTRIP KEDURUS"
6470493,"SUGENG TJAHJONO, Jl. Kebraon Ii / 71-73"
3185689,"SUMMITAMA INTINUSA, Jl. Pahlawan No 57"
4118335,"WISMA WIRA JATIM, KAWASAN INDUSTRI WIRA JATIM JL MASTRIP KARANGPILANG"
7489579,"ZEUS TEMBAKAU NUSANTARA, JL. RUNGKUT INDUSTRI IV/32"
6471185,"AIRMAS SEMESTA ASRI, Jl Kebraon II no 109"
98060847,"ASIA VICTORY INDUSTRI LTD, PT, JL. KARANGPILANG BARAT 201"
KI35780012,"BAMBANG DJAYA PT, JL. RUNGKUT INDUSTRI III NO.56"
94420870,"BOMA BISMA INDRA, PT, Jl. Kh. Mas Mansyur 229"
97003253,"CING FONG,CV, Jl. Kedinding Indah No.8 A"
6199660,"GAPURA SURYA, Jl. Bangkingan No.97"
96919857,"GELORA DJAJA PT, Jl. Buntaran No.9"
96886163,"HENSON FARMA, PT, Jl. Karang Pilang Barat 200"
4072657,"INTI BUMI KREASINDO, PERUMAHAN PONDOK MARITIM LAMA"
KI35780139,"JATIM MUSTIKA SARANA STEEL, PT"
KI35780039,"KALIMANTAN STEEL, JL RUNGKUT INDUSTRI RAYA NO 17"
3628516,"MASH MOSHEM INDONESIA, RUKO MOCA TERRACE"
3844768,"Perkasa Adi Daya Indonesia, PT, JL. Gresik No. 58 RT. 005 RW. 02, Perak Barat"
96851467,"PERURI WIRA TIMUR, PT, A YANI 119"
3853203,"PURI PANCA PUJIBANGUN, Jl. Mastrip 70 Karangpilang (Kawasan Industri Wirajatim)"
4418311,"SARANA WARNAMEGAH, JL RAYA DUKUH KUPANG"
16818089,"Steel Pipe Industry Of Indonesia Tbk, PT, DS. Warugunung -Kec. Karangpilang, Surabaya"
98060759,"SUMBER MAS, Jl. Lidah Wetan No.24 ,"
96942787,"SUPARMA TBK, PT, MASTRIP NO 856 WARUGUNUNG , JL"
96942616,"SUPLIER KERANGKA ATAP, BABATAN MUKTI F-17"
96759798,"SURABAYA MEKA BOX UNIT KALENG, PT, Jl. Kemayoran Baru No.86, Kemayoran, Kec. Krembangan, Surabaya, Jawa Timur 60176"
96989443,"SURYA PUTRA BARUTAMA,PT, JL. Raya Kedurus, No. 23, Kedurus, Karangpilang, 60223, Kedurus, Kec. Karangpilang, Surabaya, Jawa Timur 60223"
96904656,"SURYA STEEL ABADI, PT, Jl. Raya Pakal No.35"
3700441,"Syaffa Inti Medika, PT, Griya Babatan mukti blok P no 6"
97002736,"THAMARGA JAYA SEJAHTERA, PT, Jl. Hr Muhammad 151 Dukuh Pakis"
3785725,"TRI MEGAH JAYA ABADI, Wiyung Brantas Permai 6 no. 10"
96868405,"WAHANA WIRAWAN, Jl. A Yani No. 248"
6197794,"AUSTEEL INTERNASIONAL METAL, Pergudangan Margomulyo Permai Blok Q No.21"
6207501,"BERKAT SUKSES ABADI, Margomulyo Indah I F39"
3303405,"BINTANG MAJU MAPAN, JL RAYA GEDANG ASIN"
3323956,"DWI IVAN PANJAYA, Pergudangan Manukan Kulon 60 Blok C No 8"
96978105,"HAPETE, PT, Jl. Margomulyo Indah No. 18-A,"
96986285,"HAWI BAJA, PT, Margomulyo Indah Blok F Kav 11"
6199416,"INDO METAL FORMING, Margomulyo Indah E2-3"
2733755,"INDUSTRI LIFTINDO NUSANTARA, Jl. Raya Manukan 60 Blok E-3"
4294271,"JAYA SUKSES ABADI, JL.BANJARSUGIHAN NO.45 RT.006 RW.004"
96983546,"KAYAN JAYA TANJUNG, PT, Jl. Margomulyo Indah Ib/18-22"
6469550,"Mulya Petra Panelindo, Jl. Margomulyo Indah Blok F-10"
96967673,"PELITA GUNATAMA PERSADA, PT, Jl. Margomulyo Indah B-32,"
96983767,"Pt Sumber Rejeki Varia, Jl Margomulyo Indah Blok A No.16C"
4032769,"SANKO REMAJA INDONESIA, MARGOMULYO INDAH I BLOK B NO.14, BUNTARAN"
2842116,"SEMESTA JAYA ABADI, Komp. Pergudangan Margomulyo Jaya Blok C-28 (Lama : Jl.Sentong Asri Blok C-28)"
96977378,"SENTOSA ADI MAKMUR, PT, Margomulyo Indah B6 No.18"
97000801,"SENTRAL BAHANA EKATAMA PT, RAYA MANUKAN KULON 90-100"
6207515,"SIMA DELAPAN INDONESIA, Jl. Margomulyo Indah F19"
6206909,"SLAMET PRAMONO / TRI INDAH JAYA, UD, Jl.Raya Lidah Kulon No.27"
2585790,"STAR NICE, PT, Jl. Manukan Wetan No.60/A-2"
6207265,"SUKSES BUANA KARYA, Jl. Manukan Kulon No.134"
3144368,"SURYAMAS INDAH GEMILANG, JL MARGOMULYO INDAH BLOK C NO 29"
6472754,"WELLSUN PLASTIC TECHNOLOGY INDONESIA, Jl. Raya Manukan Kulon No. 96-98"
96915365,"WISMILAK INTI MAKMUR TBK, PT, Jl. Buntaran 9A"
96977178,"ALINDEX, PT, Jl. KaliJUdan Madya I/11-15"
96986676,"ARDANA KARUNA DELTA PT, KLAMPIS SEMOLO TIMUR 12 NO 7 C"
2841556,"ASIA KOSMETIK JAYA, JL MULYOSARI TENGAH NO. 97B"
6703011,"Berkarya Putra Inovasi, PT, Jl. Mleto No. 42 D"
3283849,"BON AMI ABADI, JL BABATAN PANTAI UTARA"
96957142,"CV DIAMATRA PERSADA, cv. diamatra persadaJl, Jl. Medokan Keputih No.a12-a14, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111"
2889677,"GOLDEN EYE KREATIFINDO, KOMPLEK KLAMPIS MEGAH"
